release_id,artist,release_title,track_count,issue_count,issue_types,admin_url
legacy-release-10954,Larry Wendt,Upper And Lower California,6,4,duration_in_title|very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10954
legacy-release-11059,David Ocker,Two Pieces,6,4,duration_in_title|very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-11059
legacy-release-1184,Con-Dom,Even More Racial Hatred,6,4,duration_in_title|very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-1184
legacy-release-12123,Alto Stratus,Tension!,6,4,duration_in_title|very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-12123
legacy-release-12149,Vrije,Vrije 4,6,4,duration_in_title|very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-12149
legacy-release-12156,Vrije,Gravamina For Uxoricide,6,4,duration_in_title|very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-12156
legacy-release-12165,Lightwave,Ici & Maintenant,6,4,duration_in_title|very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-12165
legacy-release-12174,Robert Rich,Live,6,4,duration_in_title|very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-12174
legacy-release-12193,John Duncan,"Radio Code Tokyo Broadcast (with  Hisako Horikawa, Che-Shizu, Tanaka Toshi)",12,4,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-12193
legacy-release-10407,Qpferdach and Nina Hagen,Im Gespräch über Gott und die Welt (Berlin Tempodrom 16.10.82),5,3,duration_in_title|very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10407
legacy-release-11087,Plant Bach Ofnus,Symudiad Ymddangosol Y Lleuad,3,3,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-11087
legacy-release-1180,Con Act,Beautiful,4,3,duration_in_title|mixed_pos_format,https://admin.vod-auctions.com/app/media/legacy-release-1180
legacy-release-10009,Sprung Aus Den Wolken,LP Auf MC,15,2,mixed_pos_format|very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10009
legacy-release-1002,Ché-SHIZU,Radio Code,4,2,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-1002
legacy-release-10041,Psychodrama,Large Whisky Drinkin Men,4,2,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10041
legacy-release-1013,Chris and Cosey,Live im Metropol Berlin 27-05-83,7,2,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-1013
legacy-release-10157,Bogislav,30 min. Sommerzeit,4,2,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10157
legacy-release-10175,Harald Sack Ziegler,Raahh !!?,4,2,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10175
legacy-release-10188,Harald Sack Ziegler,Hoerbares Aufstossen,4,2,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10188
legacy-release-102,7 Elche,Live 30.09.84,2,2,duration_in_title,https://admin.vod-auctions.com/app/media/legacy-release-102
legacy-release-10284,Buttocks,Live in der Batschkapp in Frankfurt 10/81,4,2,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10284
legacy-release-10302,Ornament und Verbrechen,Opferlamm / Rough Mixes,4,2,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10302
legacy-release-10316,Toy Dolls,Live UJZ Kornstr. Hannover 02.04.84,4,2,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10316
legacy-release-10343,Das Freie Orchester,Der Letzte Knüller,4,2,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10343
legacy-release-10358,Gui Gust and Dieter Zobel,Goldstube,4,2,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10358
legacy-release-10402,Various,Neuer Frühling Augen Auf! Kunst,16,2,position_only_title,https://admin.vod-auctions.com/app/media/legacy-release-10402
legacy-release-10467,Chor Der Gefangenen,Live In Rastatt 11.07.81,4,2,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10467
legacy-release-10484,Boring New Farts,Eine Verstopfung Ist Das Erste Anzeichen Relativer Überdosierung,4,2,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10484
legacy-release-10487,Slime,Live Pankehallen 21.01.84,4,2,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10487
legacy-release-10509,3 Men Pissing In The Rain,Same,4,2,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10509
legacy-release-10555,Merzbow / Null,Tokyo 26 03 84,4,2,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10555
legacy-release-10589,Alex Palmboom,Big : Geluiden Met De Joal,4,2,very_short_title,https://admin.vod-auctions.com/app/media/legacy-release-10589
